ID do hospede,Nome do hospede,Cidade,Bairro,Tipo de imovel,Preço,Minimo de noite,Numero de avaliações,Ultima avaliação,Avaliação por mês,contagem calculada de listagens de hospede,disponibilidade 365
87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,10/28/2018,123,2,311
11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,6/24/2019,209,3,342
93790,Ann,Manhattan,West Village,Entire home/apt,500,4,46,5/18/2019,55,2,243
97797,Brenda,Brooklyn,Park Slope,Entire home/apt,220,30,88,11/2/2018,79,1,9
87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,6/28/2019,146,2,137
105538,Erik,Brooklyn,Williamsburg,Entire home/apt,80,30,29,5/26/2018,40,1,222
109589,Jessica,Brooklyn,Gowanus,Entire home/apt,200,30,19,3/17/2017,20,1,208
112793,Sally,Manhattan,East Village,Entire home/apt,140,7,12,12/11/2017,13,1,164
42273,Dani,Brooklyn,South Slope,Entire home/apt,120,30,467,12/30/2018,422,2,192
72062,Bruce,Manhattan,East Village,Entire home/apt,350,2,7,8/9/2017,6,4,298
115157,Nimo,Manhattan,Kips Bay,Entire home/apt,199,5,38,12/2/2015,38,1,260
115307,Alexandra,Brooklyn,Williamsburg,Entire home/apt,325,3,324,6/23/2019,301,1,107
115560,Stacy,Manhattan,Upper West Side,Entire home/apt,235,6,27,4/27/2019,27,1,199
72062,Bruce,Manhattan,East Village,Entire home/apt,225,1,115,6/7/2019,105,4,299
119510,Emma,Manhattan,Harlem,Entire home/apt,170,2,195,7/1/2019,203,1,318
119588,Vero,Brooklyn,South Slope,Entire home/apt,400,2,16,12/30/2018,24,2,216
119900,Sylvie,Manhattan,Upper West Side,Entire home/apt,170,7,13,6/26/2019,12,1,224
120223,Jen,Manhattan,East Village,Entire home/apt,100,4,25,12/10/2011,23,1,0
124352,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,8/15/2017,19,1,189
126607,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,6/20/2019,142,3,213
125857,Uli,Manhattan,East Village,Entire home/apt,185,5,73,6/25/2019,66,1,209
120335,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,6/14/2019,29,1,16
135619,Tom,Manhattan,West Village,Entire home/apt,115,29,26,7/1/2019,25,1,12
137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,6/23/2019,209,2,163
138579,Ali+Scott,Brooklyn,Greenpoint,Entire home/apt,250,29,3,7/30/2017,3,1,34
139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,6/11/2018,10,1,280
139874,Sarah,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,4/24/2016,4,1,0
137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,6/20/2019,172,2,170
142833,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,7/2/2019,11,1,188
143027,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,6/17/2019,219,1,214
143048,Paula,Manhattan,East Village,Entire home/apt,195,3,30,6/17/2019,28,1,248
137432,Paz,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,8/27/2018,5,1,269
158284,Karene,Manhattan,West Village,Entire home/apt,225,45,134,3/31/2019,124,1,312
159370,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,12/27/2018,25,1,189
92788,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,6/26/2019,116,2,290
165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,12/31/2018,27,1,230
168417,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,6/8/2019,260,2,164
170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,6/22/2019,286,2,3
174025,Sylvia,Manhattan,Upper East Side,Entire home/apt,250,3,4,9/23/2016,8,1,365
180083,Syl,Brooklyn,Gowanus,Entire home/apt,250,2,80,7/6/2019,217,1,0
181167,Lorenzo,Manhattan,Harlem,Entire home/apt,80,3,2,11/2/2015,4,1,0
11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,6/18/2019,140,3,342
193360,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,7/6/2016,178,1,177
193722,Coral,Manhattan,Financial District,Entire home/apt,196,3,114,6/20/2019,106,1,0
193637,Sara,Manhattan,West Village,Entire home/apt,170,3,86,6/1/2019,80,1,246
126607,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,5/26/2019,75,3,231
201297,Myrna,Manhattan,West Village,Entire home/apt,150,26,38,4/20/2016,36,1,225
202249,Campbell,Manhattan,Harlem,Entire home/apt,100,2,18,12/17/2018,179,1,0
204539,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,5/12/2019,11,5,365
204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,4/8/2019,58,1,1
8198,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,6/5/2019,50,1,18
214148,Robert,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,9/3/2012,29,1,364
214287,Alex,Manhattan,Chelsea,Entire home/apt,125,3,3,7/17/2015,3,1,0
218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,6/26/2019,38,1,299
221873,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,6/15/2019,104,1,207
9744,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,6/22/2019,143,3,162
240360,Marlaine,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,7/1/2019,101,1,0
204539,Mark,Queens,Middle Village,Entire home/apt,98,30,33,5/9/2015,31,5,240
204539,Mark,Queens,Middle Village,Entire home/apt,265,7,38,4/27/2019,38,5,365
10889,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,6/20/2019,344,2,164
256161,Wayne,Manhattan,Harlem,Entire home/apt,121,1,104,6/22/2019,100,5,247
260709,Paul,Brooklyn,Williamsburg,Entire home/apt,140,2,253,7/2/2019,304,1,125
263414,Pete,Manhattan,West Village,Entire home/apt,199,5,129,5/19/2019,122,1,286
267593,Leonardo,Manhattan,East Village,Entire home/apt,130,1,204,7/1/2019,204,1,192
268014,Alex,Brooklyn,Greenpoint,Entire home/apt,195,2,69,6/13/2019,65,1,58
272006,Vasili,Queens,Ditmars Steinway,Entire home/apt,140,2,17,6/17/2019,16,1,292
199392,S.M.,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,6/24/2019,212,1,279
239208,Ori,Manhattan,East Village,Entire home/apt,189,3,205,6/23/2019,196,1,0
274557,Ana,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,6/9/2019,96,1,3
275459,I,Manhattan,East Village,Entire home/apt,239,3,7,5/24/2019,7,1,351
275578,R,Manhattan,Flatiron District,Entire home/apt,305,2,108,6/30/2019,109,1,201
276291,Simon,Manhattan,Harlem,Entire home/apt,155,3,222,6/26/2019,210,2,232
282927,Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,1/2/2019,39,1,244
204539,Mark,Queens,Ridgewood,Entire home/apt,140,14,1,9/17/2012,1,5,365
274782,Betty,Brooklyn,Greenpoint,Entire home/apt,135,2,69,5/19/2019,67,1,12
186084,Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt,250,4,18,7/1/2019,18,2,265
288031,Leslie,Manhattan,Midtown,Entire home/apt,250,30,82,1/5/2016,78,1,0
289653,Harrison,Manhattan,SoHo,Entire home/apt,500,4,94,6/23/2019,99,1,329
99212,Jessica,Manhattan,Greenwich Village,Entire home/apt,225,5,10,5/11/2019,10,1,91
292204,Blanca,Manhattan,East Harlem,Entire home/apt,125,28,183,9/29/2018,183,2,365
292630,Mich,Manhattan,East Village,Entire home/apt,99,2,127,6/20/2019,122,1,320
293394,Rachel,Manhattan,Upper West Side,Entire home/apt,195,4,4,8/25/2017,4,1,0
126607,Laurine,Manhattan,East Harlem,Entire home/apt,140,3,135,6/20/2019,130,3,192
295760,Greta,Manhattan,Little Italy,Entire home/apt,135,2,21,12/12/2015,20,1,0
291112,Frank,Manhattan,Chelsea,Entire home/apt,500,2,35,7/27/2017,34,1,348
23619,Anna/Fonzy,Manhattan,Midtown,Entire home/apt,110,200,92,4/30/2019,90,1,140
281764,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt,65,3,238,6/14/2019,230,1,2
303882,Brie,Manhattan,East Village,Entire home/apt,130,50,56,5/26/2019,58,1,56
197755,Sheila,Brooklyn,Bushwick,Entire home/apt,99,3,111,6/22/2019,213,1,68
306545,Olivia,Manhattan,East Village,Entire home/apt,175,3,185,5/24/2019,178,2,326
306605,Daniel,Manhattan,Chelsea,Entire home/apt,205,9,62,6/21/2019,70,2,76
306739,Maya,Brooklyn,Greenpoint,Entire home/apt,285,3,124,6/16/2019,122,3,279
307962,Dennis & Naoko,Queens,Astoria,Entire home/apt,99,5,441,6/24/2019,450,1,226
310670,Vie,Bronx,Eastchester,Entire home/apt,105,2,38,6/27/2019,50,13,365
170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,6/25/2019,239,2,11
306545,Olivia,Manhattan,East Village,Entire home/apt,390,5,143,6/19/2019,138,2,316
146944,David,Manhattan,East Village,Entire home/apt,200,3,0,,,1,0
7310,Tilly,Manhattan,Little Italy,Entire home/apt,90,14,1,1/2/2019,16,1,14
317809,Claire,Manhattan,Upper West Side,Entire home/apt,115,2,210,7/6/2019,210,1,261
320450,Mary D,Manhattan,East Village,Entire home/apt,129,7,5,1/3/2019,15,1,231
320761,Valerie,Brooklyn,Williamsburg,Entire home/apt,130,10,49,6/29/2019,48,1,152
320538,Larissa,Brooklyn,Williamsburg,Entire home/apt,95,4,132,7/7/2019,127,1,46
321934,Jessica,Brooklyn,Park Slope,Entire home/apt,175,2,11,5/2/2013,11,1,246
322884,Melissa,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,7/1/2019,57,1,288
324460,Samir,Manhattan,East Village,Entire home/apt,212,3,67,6/25/2019,131,1,51
325389,Luis Fernando,Brooklyn,Williamsburg,Entire home/apt,140,2,9,2/16/2019,11,1,254
136227,Henning,Manhattan,Harlem,Entire home/apt,135,6,187,6/23/2019,187,1,189
327673,Stefano,Brooklyn,Park Slope,Entire home/apt,150,2,214,6/23/2019,208,2,263
329436,Jana,Brooklyn,Gowanus,Entire home/apt,190,3,69,7/1/2019,79,2,258
101597,Per,Manhattan,East Harlem,Entire home/apt,124,28,22,6/15/2019,26,1,103
330347,Adrienne,Brooklyn,Williamsburg,Entire home/apt,135,30,56,5/6/2019,56,1,42
240427,Naimah,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,6/24/2019,125,2,72
342054,Violetta,Manhattan,Upper West Side,Entire home/apt,195,11,30,6/13/2019,32,1,249
282655,Jenna,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,6/27/2019,134,3,272
281229,Alicia,Manhattan,Little Italy,Entire home/apt,575,2,191,6/20/2019,188,1,298
352168,Silvia,Manhattan,Upper West Side,Entire home/apt,150,30,48,6/11/2019,55,1,35
72062,Bruce,Manhattan,East Village,Entire home/apt,500,2,48,6/16/2019,48,4,297
361855,Kurt,Manhattan,Washington Heights,Entire home/apt,250,3,32,5/24/2019,43,2,276
363834,Jennifer,Manhattan,Chinatown,Entire home/apt,125,25,43,6/17/2019,42,1,102
364955,Ruperto,Manhattan,West Village,Entire home/apt,200,30,39,6/25/2019,44,1,251
365153,Ben,Brooklyn,Greenpoint,Entire home/apt,229,1,50,5/13/2014,50,1,188
369015,Thai,Bronx,Kingsbridge,Entire home/apt,90,30,4,1/2/2019,35,2,346
373085,Hudson,Manhattan,Upper West Side,Entire home/apt,110,13,38,2/15/2019,39,1,0
211877,Daniel,Brooklyn,Williamsburg,Entire home/apt,195,4,59,6/23/2019,60,1,71
389924,Patty,Brooklyn,Williamsburg,Entire home/apt,169,1,68,6/7/2019,67,2,215
331328,Amir,Manhattan,East Harlem,Entire home/apt,113,14,26,11/25/2015,27,3,253
391325,G & S,Manhattan,Harlem,Entire home/apt,250,14,31,8/22/2012,31,1,78
265109,Nazleen,Queens,Astoria,Entire home/apt,115,2,198,5/31/2019,201,1,257
401696,Patricia,Manhattan,Lower East Side,Entire home/apt,150,3,286,6/27/2019,281,1,191
118971,Evelyn,Brooklyn,South Slope,Entire home/apt,169,2,398,6/28/2019,397,3,182
422561,Nancy,Brooklyn,Boerum Hill,Entire home/apt,135,4,6,2/5/2016,10,1,0
425506,Bliss,Brooklyn,Clinton Hill,Entire home/apt,350,6,14,4/20/2019,30,1,156
438133,Ellis,Brooklyn,Park Slope,Entire home/apt,165,30,34,9/25/2018,51,2,189
448312,Christopher,Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,6/30/2019,85,2,106
449787,Sarah,Manhattan,East Village,Entire home/apt,169,4,240,6/6/2019,240,1,276
451545,Ruthven,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,7/2/2019,107,1,248
453519,Julian,Brooklyn,Bushwick,Entire home/apt,65,2,228,6/10/2019,227,1,194
454756,Leslie,Brooklyn,Fort Greene,Entire home/apt,130,35,5,9/3/2018,5,1,135
456638,Sophie,Brooklyn,Williamsburg,Entire home/apt,199,30,8,8/26/2018,11,1,30
410094,Yvette,Manhattan,East Village,Entire home/apt,225,2,33,1/2/2019,33,1,0
459054,Famous,Brooklyn,Crown Heights,Entire home/apt,150,5,5,7/22/2018,5,1,0
462776,Kyle,Manhattan,East Village,Entire home/apt,139,1,388,6/26/2019,388,1,142
322716,Alex,Brooklyn,Crown Heights,Entire home/apt,79,15,11,1/14/2019,11,5,179
327900,T,Manhattan,Lower East Side,Entire home/apt,150,2,151,6/24/2019,151,2,52
116599,Sahr,Brooklyn,Clinton Hill,Entire home/apt,650,5,0,,,3,365
209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,6/28/2019,226,4,324
25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,6/23/2019,76,2,237
503800,Sadatu,Brooklyn,Crown Heights,Entire home/apt,100,90,0,,,1,365
478395,Jason,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,7/5/2019,374,1,204
473113,Keishera,Brooklyn,Crown Heights,Entire home/apt,120,5,104,6/21/2019,104,1,272
509341,Tessa,Brooklyn,Williamsburg,Entire home/apt,140,7,13,7/18/2016,13,1,0
509918,Eduardo,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,12/26/2018,7,1,9
31374,Shon,Manhattan,Kips Bay,Entire home/apt,125,4,1,1/3/2012,1,3,181
520279,Peter Michael,Manhattan,Chelsea,Entire home/apt,130,30,19,6/11/2018,19,1,189
522164,Wanda,Brooklyn,Fort Greene,Entire home/apt,123,30,15,5/1/2019,15,1,189
526805,Mi,Brooklyn,Gowanus,Entire home/apt,130,7,98,6/28/2019,99,1,35
178043,Chas,Manhattan,Upper West Side,Entire home/apt,212,21,45,1/1/2018,46,1,35
465278,Ade,Brooklyn,Williamsburg,Entire home/apt,190,3,124,6/26/2019,176,1,359
251176,Jason,Manhattan,East Village,Entire home/apt,249,5,166,5/27/2019,168,2,365
322716,Alex,Brooklyn,Crown Heights,Entire home/apt,100,30,15,1/5/2019,16,5,282
552679,Olivia,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,86,6/16/2019,87,1,102
306739,Maya,Brooklyn,Greenpoint,Entire home/apt,175,3,248,6/20/2019,253,3,274
3088389,Kai,Manhattan,Upper West Side,Entire home/apt,120,5,49,6/19/2019,56,1,201
568568,Driss,Manhattan,Midtown,Entire home/apt,169,18,54,7/3/2019,57,1,98
572527,Marine,Brooklyn,Crown Heights,Entire home/apt,165,7,3,1/1/2013,3,1,157
571952,Olivia,Manhattan,Upper East Side,Entire home/apt,225,2,56,12/28/2018,57,1,312
579495,Susi,Brooklyn,South Slope,Entire home/apt,199,14,27,5/19/2019,28,2,223
314941,Tony,Manhattan,Lower East Side,Entire home/apt,211,1,52,6/8/2019,60,3,361
582598,Andrey,Manhattan,Midtown,Entire home/apt,145,6,39,9/24/2018,40,1,0
127772,Will,Manhattan,Harlem,Entire home/apt,99,1,320,6/23/2019,323,1,220
585166,Lilly,Queens,Astoria,Entire home/apt,110,4,30,6/16/2019,32,1,363
209460,Marylyn,Brooklyn,Crown Heights,Entire home/apt,80,3,225,6/24/2019,227,4,315
593115,LuLu,Brooklyn,Brooklyn Heights,Entire home/apt,150,30,95,5/26/2018,96,1,281
2248897,Roberta,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,70,6/28/2019,75,1,283
138069,Itamar,Brooklyn,Williamsburg,Entire home/apt,190,4,50,7/2/2019,51,1,331
262812,Vikram,Brooklyn,Williamsburg,Entire home/apt,200,2,29,6/23/2019,31,1,36
611716,Elizabeth,Brooklyn,Park Slope,Entire home/apt,165,2,23,5/2/2016,23,2,7
617990,Christopher,Manhattan,Harlem,Entire home/apt,110,2,142,6/16/2019,144,2,301
622460,Justin,Manhattan,East Village,Entire home/apt,395,2,70,7/1/2019,73,1,170
627217,Seith,Manhattan,East Village,Entire home/apt,189,2,403,7/7/2019,410,3,201
23276,Katharine,Brooklyn,Gowanus,Entire home/apt,260,30,3,8/4/2014,3,1,316
256161,Wayne,Manhattan,Harlem,Entire home/apt,122,1,116,6/13/2019,118,5,271
275563,Lauren,Brooklyn,Greenpoint,Entire home/apt,165,2,175,7/7/2019,179,1,139
85330,Jean,Queens,Forest Hills,Entire home/apt,97,3,28,7/1/2019,121,3,209
651390,Catherine,Manhattan,West Village,Entire home/apt,170,4,24,12/26/2017,25,1,0
507186,Holly,Brooklyn,Williamsburg,Entire home/apt,125,2,15,6/6/2016,15,1,0
652842,Giovanni,Brooklyn,Williamsburg,Entire home/apt,225,10,22,5/30/2019,38,1,52
663879,Christopher,Brooklyn,Fort Greene,Entire home/apt,170,3,86,6/20/2019,91,2,286
665013,Jeff,Manhattan,Chelsea,Entire home/apt,132,4,10,1/1/2017,10,1,0
663384,Irena,Brooklyn,Park Slope,Entire home/apt,250,7,18,5/27/2019,21,1,18
674970,Michael,Brooklyn,Greenpoint,Entire home/apt,141,5,8,7/8/2018,21,1,9
680818,Jessica,Brooklyn,Crown Heights,Entire home/apt,64,20,70,1/31/2019,73,1,3
622866,Daniel,Brooklyn,Williamsburg,Entire home/apt,249,3,150,7/5/2019,155,1,277
686147,Dave,Manhattan,East Village,Entire home/apt,185,2,69,5/26/2019,71,1,233
686768,Mark,Brooklyn,Boerum Hill,Entire home/apt,120,3,232,6/22/2019,241,1,221
687361,Orna,Brooklyn,Park Slope,Entire home/apt,495,1,35,1/13/2018,41,1,355
689661,Allison,Manhattan,Nolita,Entire home/apt,375,3,18,10/1/2013,21,1,0
630453,Vanessa,Manhattan,Nolita,Entire home/apt,175,3,68,6/10/2019,69,1,277
277747,Josh,Manhattan,East Village,Entire home/apt,150,4,22,11/10/2014,23,1,0
616825,Rinaldo,Manhattan,Harlem,Entire home/apt,259,8,17,5/18/2019,17,1,343
404424,Oliver,Brooklyn,Williamsburg,Entire home/apt,145,7,8,6/6/2014,8,1,0
703156,Kristin,Manhattan,Chelsea,Entire home/apt,200,4,0,,,1,0
706418,Carolyn,Manhattan,Upper West Side,Entire home/apt,95,5,2,7/6/2018,8,1,0
709434,Meighan,Brooklyn,Windsor Terrace,Entire home/apt,250,4,52,4/27/2019,72,1,188
709334,Julie,Manhattan,Harlem,Entire home/apt,295,2,74,6/16/2019,76,2,264
715807,John,Manhattan,Greenwich Village,Entire home/apt,175,3,18,5/31/2013,19,1,0
716064,Mihalis,Brooklyn,Williamsburg,Entire home/apt,451,2,72,5/11/2019,86,1,331
718349,B.,Manhattan,Upper West Side,Entire home/apt,165,2,191,6/29/2019,218,1,236
720320,Nancy,Manhattan,Upper East Side,Entire home/apt,250,4,0,,,1,0
716306,"Dee, Dre & Mama Shelley",Bronx,Woodlawn,Entire home/apt,77,1,197,6/23/2019,249,1,309
726333,Peter,Manhattan,Lower East Side,Entire home/apt,250,4,19,7/6/2019,20,1,0
722320,Gladys & Bob,Queens,Astoria,Entire home/apt,129,1,414,7/3/2019,434,1,245
731855,Wendy,Brooklyn,Park Slope,Entire home/apt,150,2,0,,,1,8
732535,William,Manhattan,Harlem,Entire home/apt,300,2,203,7/6/2019,214,3,258
737585,Pat,Brooklyn,Greenpoint,Entire home/apt,125,2,104,6/16/2019,109,1,22
656841,Meredith,Brooklyn,Williamsburg,Entire home/apt,255,45,39,5/2/2019,50,1,89
757166,Tokunbo,Brooklyn,Bedford-Stuyvesant,Entire home/apt,72,31,88,6/16/2019,91,1,164
573065,Laura,Brooklyn,Williamsburg,Entire home/apt,165,5,117,6/29/2019,128,1,23
762563,Lennny & Megan,Brooklyn,Greenpoint,Entire home/apt,130,5,4,3/13/2015,5,1,0
465589,Amia,Brooklyn,Williamsburg,Entire home/apt,139,2,385,6/29/2019,400,1,222
769247,Ligia,Manhattan,Upper West Side,Entire home/apt,200,3,10,1/1/2019,12,1,0
770831,James,Manhattan,East Village,Entire home/apt,200,2,103,6/24/2019,108,1,235
1856604,"Robert ""Bob""",Manhattan,Harlem,Entire home/apt,295,3,227,6/26/2019,233,1,247
776490,Andres,Brooklyn,Williamsburg,Entire home/apt,450,5,37,12/27/2018,79,1,15
776645,Placid,Brooklyn,Crown Heights,Entire home/apt,130,2,29,6/28/2019,35,1,119
781647,Jorin,Manhattan,Harlem,Entire home/apt,198,5,42,6/3/2019,44,2,234
627217,Seith,Manhattan,East Village,Entire home/apt,99,2,280,7/5/2019,292,3,257
787273,Smadar,Brooklyn,Carroll Gardens,Entire home/apt,500,7,7,8/29/2018,7,1,0
791287,Giancarlo,Manhattan,Upper West Side,Entire home/apt,250,31,188,8/23/2018,194,1,259
795640,Jilly,Brooklyn,Carroll Gardens,Entire home/apt,350,5,6,8/8/2015,6,1,0
306605,Daniel,Manhattan,Chelsea,Entire home/apt,205,9,3,5/13/2018,4,2,76
795889,Adam,Brooklyn,Park Slope,Entire home/apt,219,5,2,8/31/2014,3,1,0
789257,Barbara,Manhattan,Upper West Side,Entire home/apt,185,2,129,6/7/2019,133,1,14
800982,Chris,Manhattan,East Village,Entire home/apt,190,3,147,6/30/2019,160,1,27
720558,Sara,Brooklyn,South Slope,Entire home/apt,105,28,101,7/1/2019,106,1,167
803086,Benton,Manhattan,East Harlem,Entire home/apt,250,2,11,1/2/2016,12,2,68
747698,Linda & Chris,Manhattan,Upper West Side,Entire home/apt,175,65,11,10/15/2013,12,1,358
806112,Julia,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,87,4/18/2017,109,1,0
806774,Ali & SweetPea,Brooklyn,Williamsburg,Entire home/apt,85,2,86,5/16/2019,89,2,15
807642,Jeffrey,Brooklyn,Gravesend,Entire home/apt,106,7,0,,,2,0
812814,Lena,Manhattan,East Harlem,Entire home/apt,79,2,15,2/15/2016,16,1,0
829652,Donna,Manhattan,Gramercy,Entire home/apt,400,2,105,6/23/2019,113,1,304
833926,Kris,Brooklyn,Bushwick,Entire home/apt,150,2,11,10/28/2018,46,1,0
